id,category
1,1
2,0
3,3
4,2
5,0
6,0
7,1
8,0
9,5
10,0
11,3
12,5
13,5
14,3
15,4
16,0
17,0
18,5
19,4
20,4
21,0
22,5
23,5
24,4
25,1
26,0
27,5
28,3
29,2
30,5
31,1
32,5
33,1
34,2
35,2
36,0
37,1
38,0
39,1
40,4
41,1
42,4
43,3
44,1
45,3
46,2
47,4
48,0
49,4
50,4
51,3
52,1
53,3
54,3
55,4
56,5
57,5
58,3
59,0
60,3
61,1
62,1
63,5
64,4
65,0
66,2
67,3
68,1
69,4
70,1
71,1
72,5
73,3
74,3
75,3
76,5
77,1
78,2
79,5
80,5
81,5
82,2
83,4
84,1
85,4
86,4
87,4
88,4
89,4
90,1
91,3
92,1
93,3
94,0
95,5
96,2
97,3
98,5
99,5
100,4
101,0
102,2
103,3
104,4
105,5
106,5
107,2
108,2
109,2
110,2
111,0
112,0
113,5
114,2
115,3
116,4
117,5
118,0
119,5
120,5
121,1
122,3
123,3
124,0
125,1
126,2
127,0
128,3
129,5
130,4
131,5
132,4
133,0
134,1
135,2
136,0
137,5
138,4
139,2
140,0
141,1
142,2
143,4
144,4
145,4
146,5
147,1
148,1
149,4
150,4
151,5
152,4
153,0
154,4
155,5
156,3
157,2
158,4
159,1
160,3
161,3
162,3
163,4
164,3
165,4
166,4
167,0
168,2
169,1
170,4
171,2
172,5
173,5
174,5
175,5
176,1
177,4
178,4
179,3
180,4
181,1
182,2
183,0
184,2
185,1
186,4
187,3
188,1
189,4
190,3
191,5
192,1
193,2
194,1
195,2
196,3
197,1
198,2
199,1
200,5
201,5
202,4
203,3
204,5
205,5
206,5
207,4
208,4
209,5
210,0
211,2
212,5
213,4
214,5
215,0
216,2
217,5
218,3
219,2
220,5
221,3
222,5
223,2
224,3
225,5
226,0
227,5
228,5
229,4
230,2
231,2
232,0
233,5
234,3
235,2
236,4
237,2
238,1
239,2
240,3
241,5
242,4
243,0
244,4
245,4
246,0
247,4
248,3
249,3
250,1
251,3
252,4
253,5
254,2
255,5
256,2
257,1
258,2
259,2
260,3
261,5
262,2
263,4
264,3
265,2
266,0
267,0
268,3
269,0
270,0
271,5
272,2
273,3
274,0
275,3
276,1
277,5
278,0
279,3
280,3
281,2
282,1
283,1
284,0
285,1
286,5
287,3
288,2
289,2
290,0
291,0
292,4
293,5
294,0
295,2
296,4
297,4
298,5
299,2
300,4
301,2
302,3
303,2
304,3
305,5
306,1
307,2
308,5
309,2
310,2
311,0
312,5
313,4
314,2
315,3
316,5
317,1
318,0
319,2
320,1
321,4
322,3
323,4
324,0
325,5
326,2
327,4
328,4
329,3
330,0
331,5
332,3
333,4
334,4
335,1
336,4
337,5
338,0
339,5
340,2
341,2
342,2
343,1
344,3
345,0
346,0
347,0
348,0
349,3
350,0
351,1
352,5
353,3
354,2
355,5
356,1
357,5
358,3
359,2
360,3
361,1
362,2
363,2
364,5
365,0
366,3
367,2
368,3
369,0
370,0
371,1
372,3
373,3
374,5
375,0
376,3
377,2
378,5
379,5
380,4
381,1
382,0
383,2
384,3
385,0
386,5
387,2
388,1
389,0
390,3
391,0
392,3
393,3
394,5
395,2
396,3
397,1
398,1
399,0
400,0
401,2
402,3
403,3
404,0
405,0
406,0
407,2
408,4
409,4
410,0
411,0
412,1
413,4
414,4
415,5
416,3
417,4
418,0
419,4
420,0
421,4
422,1
423,3
424,5
425,5
426,3
427,3
428,2
429,1
430,2
431,0
432,4
433,5
434,0
435,2
436,5
437,3
438,4
439,1
440,3
441,5
442,4
443,4
444,2
445,0
446,3
447,1
448,1
449,4
450,0
451,3
452,3
453,4
454,4
455,4
456,4
457,3
458,3
459,4
460,5
461,2
462,0
463,0
464,2
465,2
466,1
467,1
468,1
469,5
470,2
471,4
472,0
473,0
474,2
475,1
476,0
477,1
478,2
479,0
480,0
481,4
482,5
483,2
484,2
485,1
486,3
487,2
488,3
489,2
490,0
491,5
492,2
493,0
494,4
495,1
496,1
497,2
498,2
499,1
500,3
501,3
502,0
503,5
504,0
505,3
506,4
507,2
508,0
509,1
510,0
511,0
512,1
513,3
514,1
515,3
516,1
517,0
518,1
519,3
520,5
521,0
522,1
523,1
524,2
525,0
526,0
527,5
528,5
529,5
530,2
531,4
532,5
533,5
534,2
535,1
536,5
537,5
538,2
539,2
540,4
541,1
542,5
543,0
544,1
545,3
546,1
547,4
548,5
549,5
550,2
551,2
552,2
553,5
554,2
555,5
556,3
557,4
558,2
559,3
560,2
561,4
562,3
563,0
564,2
565,5
566,5
567,3
568,3
569,2
570,4
571,3
572,3
573,2
574,4
575,0
576,3
577,4
578,3
579,4
580,5
581,1
582,2
583,5
584,4
585,4
586,5
587,4
588,1
589,0
590,0
591,5
592,0
593,5
594,1
595,5
596,0
597,4
598,2
599,5
600,3
601,3
602,2
603,4
604,5
605,1
606,2
607,0
608,2
609,0
610,2
611,1
612,0
613,1
614,0
615,1
616,1
617,5
618,2
619,5
620,5
621,5
622,1
623,3
624,3
625,0
626,5
627,4
628,1
629,2
630,2
631,2
632,0
633,5
634,4
635,4
636,1
637,3
638,0
639,3
640,5
641,2
642,2
643,0
644,0
645,2
646,3
647,5
648,3
649,4
650,3
651,1
652,3
653,0
654,2
655,2
656,1
657,3
658,3
659,5
660,0
661,3
662,3
663,5
664,5
665,1
666,2
667,4
668,2
669,1
670,3
671,4
672,5
673,2
674,0
675,4
676,3
677,4
678,1
679,0
680,1
681,3
682,1
683,4
684,2
685,2
686,2
687,4
688,5
689,3
690,3
691,4
692,3
693,3
694,0
695,3
696,3
697,0
698,4
699,1
700,4
701,2
702,1
703,2
704,4
705,3
706,0
707,3
708,2
709,4
710,0
711,3
712,2
713,0
714,0
715,4
716,5
717,4
718,3
719,5
720,2
721,5
722,3
723,3
724,5
725,1
726,2
727,1
728,2
729,3
730,1
731,3
732,3
733,3
734,0
735,5
736,5
737,3
738,0
739,1
740,1
741,5
742,5
743,3
744,3
745,3
746,5
747,4
748,2
749,1
750,1
751,4
752,3
753,4
754,5
755,2
756,5
757,4
758,1
759,0
760,5
761,5
762,2
763,2
764,0
765,2
766,1
767,0
768,5
769,2
770,5
771,2
772,2
773,0
774,0
775,3
776,3
777,4
778,5
779,2
780,1
781,0
782,3
783,5
784,5
785,2
786,1
787,1
788,0
789,2
790,5
791,2
792,1
793,4
794,4
795,1
796,4
797,1
798,3
799,5
800,3
801,0
802,1
803,1
804,1
805,2
806,1
807,2
808,3
809,2
810,3
811,4
812,5
813,0
814,3
815,4
816,5
817,3
818,4
819,0
820,2
821,2
822,0
823,0
824,4
825,3
826,4
827,1
828,2
829,1
830,5
831,5
832,0
833,3
834,4
835,2
836,3
837,2
838,1
839,1
840,3
841,3
842,0
843,4
844,4
